id,name,income,loanAmount,creditScore,monthsEmployed,numCreditLines,totalCreditLimit,totalBalance,pastDuePayments,educationLevel,employmentStatus,maritalStatus,gender,age_group,ethnicity,riskProbability,decision
LP-10000,User 0,59934.283060224654,25305.945879905797,598,29,3,38855.057311025026,18639.589401282068,7,Bachelor,Employed,Divorced,Female,26-40,Group A,0.040196873770643377,Reject
LP-10001,User 1,47234.713976576306,3446.4523295496037,450,184,8,14162.72798861434,0.0,4,Bachelor,Unemployed,Married,Male,41-60,Group B,0.10422882944124694,Reject
LP-10002,User 2,62953.77076201385,20754.37190224147,664,169,14,29312.57382361291,0.0,9,PhD,Unemployed,Divorced,Female,41-60,Group A,0.0947649768016065,Reject
LP-10003,User 3,80460.5971281605,8807.615418386322,563,382,5,33291.223973963206,2511.8387296996452,1,High School,Employed,Married,Male,18-25,Group B,0.1281269127048952,Reject
LP-10004,User 4,45316.93250553328,11725.971936290474,816,253,10,7408.98748668543,551.8134369402524,1,Master,Employed,Divorced,Female,26-40,Group D,0.20336766660788091,Reject
LP-10005,User 5,45317.26086101639,15476.042668669177,534,72,8,37817.20671880694,11502.425586847241,9,PhD,Employed,Divorced,Female,26-40,Group A,0.03496675473639756,Reject
LP-10006,User 6,81584.25631014783,13805.089482734407,391,45,9,16422.177337970134,0.0,4,High School,Unemployed,Divorced,Male,41-60,Group A,0.06946886165863929,Reject
LP-10007,User 7,65348.694583058175,1000.0,844,238,3,35097.197242930415,12073.462597672165,9,Master,Unemployed,Married,Female,26-40,Group A,0.42699425126749135,Approve
LP-10008,User 8,40610.51228130096,28818.120211633162,624,430,8,45825.48014965478,13632.206649679081,5,High School,Employed,Divorced,Female,26-40,Group A,0.035255679797804584,Reject
LP-10009,User 9,60851.200871719295,26344.092187588973,847,457,12,19129.01143047725,14390.83974933129,2,Bachelor,Unemployed,Single,Male,41-60,Group D,0.3473746957787528,Reject
LP-10010,User 10,40731.64614375075,13536.835068738697,594,465,8,39369.32777641157,6127.948047972022,0,Bachelor,Self-Employed,Divorced,Male,26-40,Group A,0.14877998789952765,Reject
LP-10011,User 11,40685.404928594864,24343.986267290842,680,464,14,34940.772229247,17755.726369905722,1,Bachelor,Unemployed,Divorced,Female,26-40,Group C,0.06659876018749795,Reject
LP-10012,User 12,54839.24543132068,11023.048386620247,837,272,12,52137.161766270205,11395.70384707043,6,Master,Self-Employed,Divorced,Male,41-60,Group D,0.3918699921571739,Reject
LP-10013,User 13,15000.0,5178.025562555158,363,426,3,16841.41572733102,9037.459416020842,9,High School,Self-Employed,Married,Male,26-40,Group D,0.0369738443650026,Reject
LP-10014,User 14,15501.643349739345,15544.130142005752,509,112,13,17908.672591189672,2734.513409766596,8,Bachelor,Self-Employed,Divorced,Male,18-25,Group B,0.0020383479342469383,Reject
LP-10015,User 15,38754.249415180544,3310.971415152795,784,102,8,20380.812978111437,15013.721721427395,5,PhD,Employed,Single,Female,26-40,Group C,0.19951275871374655,Reject
LP-10016,User 16,29743.377593311525,21090.506234833232,751,283,8,23149.382754275786,19188.298430541054,0,PhD,Employed,Married,Female,60+,Group D,0.04122443889039674,Reject
LP-10017,User 17,56284.94665190548,7974.372505602577,835,354,5,19460.206980208473,23922.734899559182,9,High School,Self-Employed,Married,Male,26-40,Group D,0.4793356077652603,Approve
LP-10018,User 18,31839.51848957578,1000.0,462,356,11,16050.79102442923,7485.1689702351305,5,Master,Employed,Single,Female,26-40,Group B,0.09142454140901392,Reject
LP-10019,User 19,21753.925973294172,1000.0,400,107,9,4229.494412722448,26268.021268228753,2,Bachelor,Self-Employed,Single,Male,26-40,Group D,0.0588788783740683,Reject
LP-10020,User 20,79312.97537843109,13729.436811354079,540,361,11,27511.561196524086,11961.138555401581,3,High School,Self-Employed,Married,Male,18-25,Group C,0.09327406544886063,Reject
LP-10021,User 21,45484.47399026929,18207.02489739147,659,208,10,37880.39314875336,13458.7261721091,0,High School,Employed,Divorced,Other,26-40,Group C,0.10711550749497759,Reject
